[0:00]  Buenas. Buenas noches.
[0:07]  Como está ustedes?
[0:10]  Con la moral, a mí yo siempre.
[0:16]  Bienvenidos y bienvenidos a su programa número 541
[0:23]  con el más so dando 500 cuarenta y uno.
[0:30]  Por favor, gente.
[0:38]  Obenzado un programa serio hoy.
[0:46]  Te es serio, ¿va?
[0:48]  Bueno, los salud a todas y a todos.
[0:54]  Con cariño, con afecto, siempre siempre con mucho respeto,
[0:59]  con los que están aquí y a los que nos escuchan y nos ven y les envió un saludo
[1:06]  a los que nos voy en fuera de Venezuela, que están pendientes, lo que no dice aquí María.
[1:12]  Yo ya me necesito con a lérgica, ¿no?
[1:16]  Ong a lérgica, ¿qué en este? Yo dije, Dios mío, que no le da a lérgica, uno se.
[1:22]  Yo dije que no vaya pasadilla y porque se yo, no hago programas tan noche,
[1:26]  que van a decir lo es de cual y lo van a extrañar, donde también me vejerbo.
[1:33]  ¿Ah? Y todavía estoy, todavía estoy lágrim, miando por aquí.
[1:38]  ¿Qué?
[1:39]  No, no, no, no, no, no, no, no, no, no, no, no, no.
[1:42]  Y no, me van a extrañar.
[1:44]  Y te sabe puedo hacerles eso tan seguido.
[1:47]  Ahora hay un día de esta semana que yo tengo que viajar hoy para...
[1:55]  ¿Qué no voy hasta aquí por aquí? Entonces no lo vaya en el cine a nadie.
[1:59]  Sí, me, por si acaso no me ven.
[2:05]  A donar vuelta por ahí.
[2:07]  Bueno, lo saludo a todo.
[2:09]  ¿Cómo en su almés de septiembre?
[2:12]  ¿Cómo en su almés de septiembre?
[2:18]  Seguienbre septiembre, septiembre.
[2:26]  Este, el último, de adornés en 4, y me extra, el último, los últimos 4 meses.
[2:31]  Y ya uno comience escucha gaitas.
[2:34]  Él afeta de septiembre en que es ello, ¿no?
[2:39]  Eso no lo va para nadie.
[2:42]  Mientras tanto, entrando el mes de septiembre que nos extranjente,
[2:47]  hecho Venezuela, los Venezuela, no, las Venezuela,
[2:50]  más gente de un valor extraordinario.
[2:53]  En verdad que quita ese sombrero, con el pueblo de Venezuela.
[2:57]  ¿De mostrado en una y mil batallas?
[3:08]  Y hoy día, hoy día por supuesto, hoy día por supuesto,
[3:13]  los ataques contra el país se incrementan las agresiones.
[3:18]  Venezuela sometida a una menaza constante un acedio
[3:23]  por parte de la imperialismo y algunos de la calle.
[3:27]  Que estamos esperando aquí adentro.
[3:33]  Aquí adentro, porque se embalentó, y yo ocurrió que, bueno,
[3:38]  de todas estas menasas que comenzaron con más fuerza,
[3:42]  creo que fue el 8 de agosto, algo así.
[3:45]  Por ahí, por eso día comenzó una serie de menasas contra Venezuela.
[3:49]  Y nosotros aquí tranquilo.
[3:51]  Tranquilo.
[3:53]  Piede plomo, nervios de acero, calma y cordura y máxima movilización popular.
[4:01]  Que lleva, que lleva implícito, que lleva implícito,
[4:13]  esa movilización, la organización y la formación,
[4:18]  el presidente de la Generalmente, el presidente Nicolás Maduro,
[4:22]  haciendo uso de su condición de jefe de Estado y comandante en jefe,
[4:27]  presidente de jefe de Estado, comandante en jefe de la fuerza armada,
[4:30]  llamó a Files, llamó a Alistarse, y lo que vimos en las calles de Venezuela
[4:35]  es un ejemplo para el mundo.
[4:41]  Un verdadero ejemplo para el mundo.
[4:44]  Y para el mundo.
[4:49]  Puedes mujeres, mujeres, mujeres, personas de la tercera edad
[4:54]  que llamó en proguita y la cuarta y de la quinta.
[4:59]  De la cuarta y la quinta.
[5:01]  Yo tengo un amigo que se llama Raul, Raul me dice,
[5:04]  ya tiene su edad pues Raulingles y como muchos swingles.
[5:10]  Yo tengo mis años pero pongo en un sitio y no pasa nadie.
[5:15]  Y yo le creo porque Raul no pelo un tiro yo.
[5:20]  Esen no pelo un tiro.
[5:23]  Ese sido donde dice una donde pone los,
[5:27]  pa, ya no puedan corriendo, no he brincando,
[5:30]  pero tú me ponés en un sitio y yo cumplo la misión.
[5:33]  Digo yo aquí porque las menasas vienen y vienen más caradas.
[5:39]  De atrás de mentiras.
[5:43]  De lo que ahora llaman es uno le decía coba antes.
[5:47]  Ahora le dicen, Feyn y U.
[5:50]  Pero es antes, puracoa.
[5:54]  Una coba, pero me entiendo una coba a la gente.
[5:57]  No, ahora es un Feyn y U.
[5:59]  Pero de ahí viene, ¿eh?
[6:03]  Ya hay bien.
[6:05]  Tú llegas y organizas un plan para una campaña contra,
[6:10]  pensemos una persona.
